UNITID,INSTNM,CITY,STABBR,ic2025,ic2025name,saec2025,saec2025name,research2025,research2025name,basic2021,control,sector_label,setting2025,setting2025name,ic2025size,size_label,highest_degree_2025,hbcu,hsi,tribal,womenonly,landgrant,pbi,annhsi,aanapisi,nasnti,medical,rpu,LONGITUD,LATITUDE,WEBADDR,COUNTYCD,cbsa_name,locale_group,admission_rate,grad_rate_6yr,completion_rate_8yr,still_enrolled_8yr,transfer_out_8yr,enrollment_total,enrollment_ug,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_aian,pct_nhpi,pct_two_or_more,pct_unknown,pct_nonresident,pell_2023,pell_ratio,saec_earnings,saec_compearn,earnings_ratio,saec_urm_ratio,access_ratio,saec_pct_urm,saec_pct_black,saec_pct_hispanic,saec_pct_asian,saec_pct_white,net_price,net_price_pub,net_price_priv,tuition_in_state,tuition_out_of_state,grad_debt_median,pct_federal_loan,herd_avg,sat_avg,act_avg,yield_rate,grad_ratio,academic_tier,athletic_association,ncaa_division,sports_offered,relaffil_label,primary_recruit_state,primary_recruit_pct
164580,Babson College,Wellesley,MA,24,Special Focus: Business,5,"Lower Access, Higher Earnings",-2,No research designation,29,2,Private nonprofit,1,Highly residential,3,Medium,Master's,0,0,0,0,2,0,0,0,0,0,0,-71.264057,42.297017,www.babson.edu/,25021,"Boston-Cambridge-Newton, MA-NH",Suburb,20.0,94.0,93.8,0.1,0.0,3943.0,2752.0,43.0,30.0,4.0,13.0,11.0,0.0,0.0,2.0,7.0,34.0,0.145071982281285,0.49,102507.0,40638.99647742766,2.52,1.02,0.75,0.334344967121902,0.07,0.23,0.2,0.47,34994.0,,34994.0,56032.0,56032.0,20000.0,0.2887,1689.3333333333333,1440,31.5,39.7,minority,straight-a,NCAA,NCAA Division III without football,"Baseball, Basketball, Track & Field, Field Hockey, Golf, Ice Hockey, Lacrosse, Skiing, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",,Massachusetts,0.203
164739,Bentley University,Waltham,MA,24,Special Focus: Business,5,"Lower Access, Higher Earnings",-2,No research designation,18,2,Private nonprofit,1,Highly residential,3,Medium,Master's,0,0,0,0,2,0,0,0,0,0,0,-71.222839,42.385995,www.bentley.edu/,25017,"Boston-Cambridge-Newton, MA-NH",City,48.0,88.0,90.2,0.0,6.5,5264.0,4350.0,41.0,53.0,4.0,11.0,10.0,0.0,0.0,3.0,2.0,16.0,0.1531465093412,0.58,102857.0,44250.203450933644,2.32,0.78,0.68,0.219097995545657,0.05,0.13,0.11,0.67,39699.0,,39699.0,58150.0,58150.0,25023.0,0.4169,916.6666666666666,1330,30.5,22.1,minority,a-range,NCAA,NCAA Division II with football,"Baseball, Basketball, Track & Field, Field Hockey, Football, Golf, Ice Hockey, Lacrosse, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",,Massachusetts,0.4585
190512,CUNY Bernard M Baruch College,New York,NY,24,Special Focus: Business,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",3,Research Colleges and Universities,18,1,Public,4,Primarily non-residential,4,Large,Master's,0,1,0,0,2,0,0,1,0,0,1,-73.983417,40.740238,www.baruch.cuny.edu/,36061,"New York-Newark-Jersey City, NY-NJ",City,50.0,74.0,68.2,1.1,13.5,19698.0,16086.0,51.0,19.0,9.0,26.0,34.0,0.0,0.0,2.0,0.0,9.0,0.565449402083065,2.02,70543.0,48115.60325406564,1.47,0.98,1.5,0.429320017261574,0.1,0.3,0.38,0.19,3644.0,3644.0,,6930.0,14880.0,11512.0,0.1097,3253.6666666666665,1310,,20.8,minority,a-range,NCAA,NCAA Division III without football,"Baseball, Basketball, Soccer, Softball, Swimming, Tennis, Track and Field X Country, Volleyball",,New York,0.8718
