UNITID,cip_family,total_awards,cip_label
100654,01,28.0,Agriculture
100654,03,4.0,Natural Resources
100654,04,1.0,Architecture
100654,10,24.0,Communications Tech
100654,11,26.0,Computer Science
100654,13,21.0,Education
100654,14,57.0,Engineering
100654,15,19.0,Engineering Tech
100654,19,10.0,Family/Consumer Sciences
100654,23,7.0,English
100654,24,25.0,Liberal Arts
100654,26,76.0,Biological Sciences
100654,27,5.0,Mathematics
100654,31,24.0,Parks/Recreation
100654,40,7.0,Physical Sciences
100654,42,34.0,Psychology
100654,43,32.0,Homeland Security
100654,44,23.0,Public Administration
100654,45,10.0,Social Sciences
100654,50,4.0,Visual/Performing Arts
100654,52,74.0,Business
100663,05,2.0,Area/Ethnic Studies
100663,09,79.0,Communication
100663,11,87.0,Computer Science
100663,13,188.0,Education
100663,14,176.0,Engineering
100663,16,14.0,Foreign Languages
100663,23,44.0,English
100663,24,97.0,Liberal Arts
100663,26,407.0,Biological Sciences
100663,27,15.0,Mathematics
100663,38,15.0,Philosophy/Religion
100663,40,70.0,Physical Sciences
100663,42,251.0,Psychology
100663,43,109.0,Homeland Security
100663,44,39.0,Public Administration
100663,45,92.0,Social Sciences
100663,50,97.0,Visual/Performing Arts
100663,51,578.0,Health Professions
100663,52,577.0,Business
100663,54,45.0,History
100690,19,8.0,Family/Consumer Sciences
100690,39,16.0,Theology
100690,43,2.0,Homeland Security
100690,52,14.0,Business
100706,09,21.0,Communication
100706,11,168.0,Computer Science
100706,13,31.0,Education
100706,14,504.0,Engineering
100706,15,6.0,Engineering Tech
100706,16,14.0,Foreign Languages
100706,23,35.0,English
100706,26,87.0,Biological Sciences
100706,27,29.0,Mathematics
100706,30,30.0,Interdisciplinary
100706,31,47.0,Parks/Recreation
100706,38,10.0,Philosophy/Religion
100706,40,88.0,Physical Sciences
100706,42,50.0,Psychology
100706,45,29.0,Social Sciences
100706,50,58.0,Visual/Performing Arts
100706,51,176.0,Health Professions
100706,52,275.0,Business
100706,54,14.0,History
100724,09,26.0,Communication
100724,11,27.0,Computer Science
100724,13,35.0,Education
100724,14,8.0,Engineering
100724,23,2.0,English
100724,26,58.0,Biological Sciences
100724,27,4.0,Mathematics
100724,30,41.0,Interdisciplinary
100724,31,4.0,Parks/Recreation
100724,40,6.0,Physical Sciences
100724,42,21.0,Psychology
100724,43,43.0,Homeland Security
100724,44,28.0,Public Administration
100724,45,8.0,Social Sciences
100724,50,45.0,Visual/Performing Arts
100724,51,38.0,Health Professions
100724,52,79.0,Business
100724,54,2.0,History
100751,03,25.0,Natural Resources
100751,05,11.0,Area/Ethnic Studies
100751,09,640.0,Communication
100751,11,96.0,Computer Science
100751,13,177.0,Education
100751,14,630.0,Engineering
100751,16,82.0,Foreign Languages
100751,19,456.0,Family/Consumer Sciences
100751,23,84.0,English
100751,24,0.0,Liberal Arts
100751,26,257.0,Biological Sciences
100751,27,87.0,Mathematics
100751,30,109.0,Interdisciplinary
100751,31,186.0,Parks/Recreation
100751,38,24.0,Philosophy/Religion
100751,40,80.0,Physical Sciences
100751,42,356.0,Psychology
100751,44,71.0,Public Administration
100751,45,690.0,Social Sciences
100751,50,180.0,Visual/Performing Arts
100751,51,633.0,Health Professions
100751,52,2147.0,Business
100751,54,114.0,History
100812,11,20.0,Computer Science
100812,13,233.0,Education
100812,23,23.0,English
100812,24,68.0,Liberal Arts
100812,26,12.0,Biological Sciences
100812,27,17.0,Mathematics
100812,30,6.0,Interdisciplinary
100812,31,8.0,Parks/Recreation
100812,38,4.0,Philosophy/Religion
100812,40,2.0,Physical Sciences
100812,42,15.0,Psychology
100812,43,13.0,Homeland Security
100812,45,17.0,Social Sciences
100812,49,0.0,Transportation
100812,50,11.0,Visual/Performing Arts
100812,51,13.0,Health Professions
100812,52,235.0,Business
100812,54,11.0,History
100830,03,7.0,Natural Resources
100830,09,11.0,Communication
100830,11,65.0,Computer Science
100830,13,44.0,Education
100830,16,1.0,Foreign Languages
100830,23,10.0,English
100830,26,59.0,Biological Sciences
100830,27,4.0,Mathematics
100830,30,83.0,Interdisciplinary
100830,31,37.0,Parks/Recreation
100830,40,13.0,Physical Sciences
100830,42,40.0,Psychology
100830,43,21.0,Homeland Security
100830,44,15.0,Public Administration
100830,45,17.0,Social Sciences
100830,50,24.0,Visual/Performing Arts
100830,51,122.0,Health Professions
100830,52,138.0,Business
100830,54,4.0,History
100858,01,234.0,Agriculture
100858,03,136.0,Natural Resources
100858,04,118.0,Architecture
100858,09,229.0,Communication
100858,11,222.0,Computer Science
100858,13,236.0,Education
100858,14,969.0,Engineering
100858,16,27.0,Foreign Languages
100858,19,184.0,Family/Consumer Sciences
100858,22,50.0,Legal Professions
100858,23,44.0,English
100858,24,2.0,Liberal Arts
100858,26,602.0,Biological Sciences
100858,27,38.0,Mathematics
100858,30,63.0,Interdisciplinary
100858,38,7.0,Philosophy/Religion
100858,40,54.0,Physical Sciences
100858,42,203.0,Psychology
100858,44,25.0,Public Administration
100858,45,148.0,Social Sciences
100858,49,131.0,Transportation
100858,50,160.0,Visual/Performing Arts
100858,51,362.0,Health Professions
100858,52,1455.0,Business
100858,54,46.0,History
100937,03,5.0,Natural Resources
100937,04,3.0,Architecture
100937,05,2.0,Area/Ethnic Studies
100937,09,7.0,Communication
100937,11,12.0,Computer Science
100937,13,7.0,Education
100937,14,2.0,Engineering
100937,16,3.0,Foreign Languages
100937,23,8.0,English
100937,26,18.0,Biological Sciences
100937,27,8.0,Mathematics
100937,30,4.0,Interdisciplinary
100937,38,7.0,Philosophy/Religion
100937,40,6.0,Physical Sciences
100937,42,33.0,Psychology
100937,45,14.0,Social Sciences
100937,50,13.0,Visual/Performing Arts
100937,51,32.0,Health Professions
100937,52,89.0,Business
100937,54,9.0,History
101116,11,3.0,Computer Science
101116,42,0.0,Psychology
101116,43,4.0,Homeland Security
101116,51,27.0,Health Professions
101116,52,8.0,Business
101189,01,1.0,Agriculture
101189,11,2.0,Computer Science
101189,13,18.0,Education
101189,22,3.0,Legal Professions
101189,23,7.0,English
101189,24,2.0,Liberal Arts
101189,26,2.0,Biological Sciences
101189,27,2.0,Mathematics
101189,30,7.0,Interdisciplinary
101189,31,17.0,Parks/Recreation
101189,39,4.0,Theology
101189,42,23.0,Psychology
101189,43,88.0,Homeland Security
101189,45,1.0,Social Sciences
101189,50,2.0,Visual/Performing Arts
101189,51,12.0,Health Professions
101189,52,241.0,Business
101189,54,4.0,History
101365,11,1.0,Computer Science
101365,22,0.0,Legal Professions
101365,43,1.0,Homeland Security
101365,51,6.0,Health Professions
101365,52,3.0,Business
101435,09,5.0,Communication
101435,13,16.0,Education
101435,23,3.0,English
101435,26,33.0,Biological Sciences
101435,27,4.0,Mathematics
101435,31,35.0,Parks/Recreation
101435,38,1.0,Philosophy/Religion
101435,40,1.0,Physical Sciences
101435,42,8.0,Psychology
101435,43,11.0,Homeland Security
101435,45,2.0,Social Sciences
101435,50,2.0,Visual/Performing Arts
101435,51,5.0,Health Professions
101435,52,40.0,Business
101435,54,11.0,History
101453,39,10.0,Theology
101480,09,31.0,Communication
101480,11,47.0,Computer Science
101480,13,214.0,Education
101480,15,58.0,Engineering Tech
101480,16,2.0,Foreign Languages
101480,19,29.0,Family/Consumer Sciences
101480,23,17.0,English
101480,24,104.0,Liberal Arts
101480,26,75.0,Biological Sciences
101480,27,5.0,Mathematics
101480,31,35.0,Parks/Recreation
101480,40,13.0,Physical Sciences
101480,42,33.0,Psychology
101480,43,115.0,Homeland Security
101480,44,48.0,Public Administration
101480,45,29.0,Social Sciences
101480,50,78.0,Visual/Performing Arts
101480,51,320.0,Health Professions
101480,52,174.0,Business
101480,54,5.0,History
101587,09,27.0,Communication
101587,13,92.0,Education
101587,15,11.0,Engineering Tech
101587,23,4.0,English
101587,26,13.0,Biological Sciences
101587,27,7.0,Mathematics
101587,30,65.0,Interdisciplinary
101587,31,16.0,Parks/Recreation
101587,40,0.0,Physical Sciences
101587,42,30.0,Psychology
101587,43,4.0,Homeland Security
101587,45,3.0,Social Sciences
101587,50,1.0,Visual/Performing Arts
101587,51,30.0,Health Professions
101587,52,53.0,Business
101587,54,4.0,History
101675,03,0.0,Natural Resources
101675,09,16.0,Communication
101675,11,6.0,Computer Science
101675,13,3.0,Education
101675,19,8.0,Family/Consumer Sciences
101675,23,3.0,English
101675,26,8.0,Biological Sciences
101675,27,0.0,Mathematics
101675,40,1.0,Physical Sciences
101675,42,7.0,Psychology
101675,43,20.0,Homeland Security
101675,44,17.0,Public Administration
101675,45,5.0,Social Sciences
101675,50,3.0,Visual/Performing Arts
101675,52,44.0,Business
101675,54,4.0,History
101693,09,6.0,Communication
101693,11,3.0,Computer Science
101693,13,44.0,Education
101693,14,2.0,Engineering
101693,19,4.0,Family/Consumer Sciences
101693,23,7.0,English
101693,24,6.0,Liberal Arts
101693,26,5.0,Biological Sciences
101693,27,1.0,Mathematics
101693,30,3.0,Interdisciplinary
101693,31,28.0,Parks/Recreation
101693,38,4.0,Philosophy/Religion
101693,39,7.0,Theology
101693,42,15.0,Psychology
101693,45,10.0,Social Sciences
101693,50,30.0,Visual/Performing Arts
101693,51,40.0,Health Professions
101693,52,44.0,Business
101693,54,7.0,History
101709,03,12.0,Natural Resources
101709,09,20.0,Communication
101709,11,8.0,Computer Science
101709,13,34.0,Education
101709,16,2.0,Foreign Languages
101709,19,9.0,Family/Consumer Sciences
101709,23,32.0,English
101709,26,20.0,Biological Sciences
101709,27,8.0,Mathematics
101709,30,0.0,Interdisciplinary
101709,31,38.0,Parks/Recreation
101709,40,4.0,Physical Sciences
101709,42,21.0,Psychology
101709,44,14.0,Public Administration
101709,45,26.0,Social Sciences
101709,50,70.0,Visual/Performing Arts
101709,51,22.0,Health Professions
101709,52,103.0,Business
101709,54,10.0,History
101879,04,17.0,Architecture
101879,09,34.0,Communication
101879,11,31.0,Computer Science
101879,12,0.0,Personal/Culinary
101879,13,136.0,Education
101879,15,15.0,Engineering Tech
101879,16,14.0,Foreign Languages
101879,19,13.0,Family/Consumer Sciences
101879,23,29.0,English
101879,26,44.0,Biological Sciences
101879,27,10.0,Mathematics
101879,30,79.0,Interdisciplinary
101879,31,66.0,Parks/Recreation
101879,40,5.0,Physical Sciences
101879,42,59.0,Psychology
101879,43,40.0,Homeland Security
101879,44,42.0,Public Administration
101879,45,74.0,Social Sciences
101879,50,79.0,Visual/Performing Arts
101879,51,165.0,Health Professions
101879,52,285.0,Business
101879,54,36.0,History
101912,09,8.0,Communication
101912,11,8.0,Computer Science
101912,13,8.0,Education
101912,16,6.0,Foreign Languages
101912,19,0.0,Family/Consumer Sciences
101912,23,0.0,English
101912,24,25.0,Liberal Arts
101912,26,40.0,Biological Sciences
101912,27,1.0,Mathematics
101912,30,1.0,Interdisciplinary
101912,39,16.0,Theology
101912,40,0.0,Physical Sciences
101912,42,12.0,Psychology
101912,44,8.0,Public Administration
101912,45,5.0,Social Sciences
101912,50,10.0,Visual/Performing Arts
101912,51,31.0,Health Professions
101912,52,13.0,Business
101912,54,0.0,History
102049,03,3.0,Natural Resources
102049,04,0.0,Architecture
102049,09,52.0,Communication
102049,11,11.0,Computer Science
102049,13,43.0,Education
102049,14,3.0,Engineering
102049,16,11.0,Foreign Languages
102049,19,47.0,Family/Consumer Sciences
102049,22,9.0,Legal Professions
102049,23,19.0,English
102049,24,1.0,Liberal Arts
102049,26,27.0,Biological Sciences
102049,27,9.0,Mathematics
102049,30,4.0,Interdisciplinary
102049,31,20.0,Parks/Recreation
102049,38,8.0,Philosophy/Religion
102049,39,11.0,Theology
102049,40,2.0,Physical Sciences
102049,42,25.0,Psychology
102049,44,4.0,Public Administration
102049,45,29.0,Social Sciences
102049,50,64.0,Visual/Performing Arts
102049,51,282.0,Health Professions
102049,52,204.0,Business
102049,54,11.0,History
102058,24,0.0,Liberal Arts
102058,26,0.0,Biological Sciences
102058,31,0.0,Parks/Recreation
102058,39,5.0,Theology
102058,51,0.0,Health Professions
102058,52,1.0,Business
102094,09,50.0,Communication
102094,11,101.0,Computer Science
102094,13,91.0,Education
102094,14,163.0,Engineering
102094,16,7.0,Foreign Languages
102094,23,26.0,English
102094,26,246.0,Biological Sciences
102094,27,17.0,Mathematics
102094,30,84.0,Interdisciplinary
102094,31,24.0,Parks/Recreation
102094,38,10.0,Philosophy/Religion
102094,40,17.0,Physical Sciences
102094,42,100.0,Psychology
102094,43,48.0,Homeland Security
102094,44,23.0,Public Administration
102094,45,44.0,Social Sciences
102094,50,55.0,Visual/Performing Arts
102094,51,538.0,Health Professions
102094,52,188.0,Business
102094,54,25.0,History
102234,09,12.0,Communication
102234,11,0.0,Computer Science
102234,13,11.0,Education
102234,14,0.0,Engineering
102234,16,1.0,Foreign Languages
102234,23,6.0,English
102234,24,13.0,Liberal Arts
102234,26,22.0,Biological Sciences
102234,27,7.0,Mathematics
102234,30,0.0,Interdisciplinary
102234,31,0.0,Parks/Recreation
102234,38,8.0,Philosophy/Religion
102234,40,0.0,Physical Sciences
102234,42,20.0,Psychology
102234,45,17.0,Social Sciences
102234,50,6.0,Visual/Performing Arts
102234,51,28.0,Health Professions
102234,52,66.0,Business
102234,54,4.0,History
102270,09,6.0,Communication
102270,13,15.0,Education
102270,23,4.0,English
102270,24,7.0,Liberal Arts
102270,26,13.0,Biological Sciences
102270,27,0.0,Mathematics
102270,38,1.0,Philosophy/Religion
102270,39,1.0,Theology
102270,40,0.0,Physical Sciences
102270,42,12.0,Psychology
102270,43,10.0,Homeland Security
102270,50,2.0,Visual/Performing Arts
102270,52,24.0,Business
102270,54,0.0,History
102298,09,7.0,Communication
102298,11,7.0,Computer Science
102298,13,6.0,Education
102298,23,2.0,English
102298,24,21.0,Liberal Arts
102298,26,9.0,Biological Sciences
102298,27,1.0,Mathematics
102298,40,2.0,Physical Sciences
102298,42,23.0,Psychology
102298,43,0.0,Homeland Security
102298,44,6.0,Public Administration
102298,45,10.0,Social Sciences
102298,50,5.0,Visual/Performing Arts
102298,52,45.0,Business
102298,54,0.0,History
102368,03,8.0,Natural Resources
102368,09,93.0,Communication
102368,11,111.0,Computer Science
102368,13,147.0,Education
102368,15,15.0,Engineering Tech
102368,16,12.0,Foreign Languages
102368,23,26.0,English
102368,26,75.0,Biological Sciences
102368,27,6.0,Mathematics
102368,30,197.0,Interdisciplinary
102368,31,48.0,Parks/Recreation
102368,40,0.0,Physical Sciences
102368,42,245.0,Psychology
102368,43,128.0,Homeland Security
102368,44,202.0,Public Administration
102368,45,118.0,Social Sciences
102368,50,65.0,Visual/Performing Arts
102368,51,188.0,Health Professions
102368,52,423.0,Business
102368,54,27.0,History
102377,01,66.0,Agriculture
102377,03,4.0,Natural Resources
102377,04,10.0,Architecture
102377,09,14.0,Communication
102377,11,9.0,Computer Science
102377,13,8.0,Education
102377,14,65.0,Engineering
102377,19,4.0,Family/Consumer Sciences
102377,23,4.0,English
102377,24,2.0,Liberal Arts
102377,26,43.0,Biological Sciences
102377,27,1.0,Mathematics
102377,40,6.0,Physical Sciences
102377,42,20.0,Psychology
102377,44,6.0,Public Administration
102377,45,13.0,Social Sciences
102377,46,12.0,Construction Trades
102377,50,2.0,Visual/Performing Arts
102377,51,63.0,Health Professions
102377,52,54.0,Business
102377,54,4.0,History
102395,13,8.0,Education
102395,31,12.0,Parks/Recreation
102553,03,6.0,Natural Resources
102553,09,15.0,Communication
102553,11,23.0,Computer Science
102553,13,2.0,Education
102553,14,60.0,Engineering
102553,15,12.0,Engineering Tech
102553,16,11.0,Foreign Languages
102553,22,8.0,Legal Professions
102553,23,20.0,English
102553,26,25.0,Biological Sciences
102553,27,3.0,Mathematics
102553,30,44.0,Interdisciplinary
102553,31,15.0,Parks/Recreation
102553,38,3.0,Philosophy/Religion
102553,40,16.0,Physical Sciences
102553,41,18.0,Science Tech
102553,42,50.0,Psychology
102553,43,27.0,Homeland Security
102553,44,28.0,Public Administration
102553,45,31.0,Social Sciences
102553,49,25.0,Transportation
102553,50,23.0,Visual/Performing Arts
102553,51,201.0,Health Professions
102553,52,128.0,Business
102553,54,26.0,History
102580,13,0.0,Education
102580,39,3.0,Theology
102614,03,20.0,Natural Resources
102614,05,4.0,Area/Ethnic Studies
102614,09,6.0,Communication
102614,11,5.0,Computer Science
102614,13,23.0,Education
102614,14,46.0,Engineering
102614,16,5.0,Foreign Languages
102614,19,8.0,Family/Consumer Sciences
102614,23,7.0,English
102614,26,28.0,Biological Sciences
102614,27,3.0,Mathematics
102614,30,46.0,Interdisciplinary
102614,31,11.0,Parks/Recreation
102614,38,2.0,Philosophy/Religion
102614,40,9.0,Physical Sciences
102614,42,36.0,Psychology
102614,43,49.0,Homeland Security
102614,44,29.0,Public Administration
102614,45,16.0,Social Sciences
102614,50,14.0,Visual/Performing Arts
102614,52,72.0,Business
102614,54,5.0,History
102632,03,13.0,Natural Resources
102632,05,3.0,Area/Ethnic Studies
102632,13,28.0,Education
102632,23,5.0,English
102632,24,1.0,Liberal Arts
102632,26,14.0,Biological Sciences
102632,27,3.0,Mathematics
102632,30,13.0,Interdisciplinary
102632,31,0.0,Parks/Recreation
102632,45,13.0,Social Sciences
102632,52,37.0,Business
102669,05,0.0,Area/Ethnic Studies
102669,23,4.0,English
102669,24,2.0,Liberal Arts
102669,30,10.0,Interdisciplinary
102669,31,6.0,Parks/Recreation
102669,42,4.0,Psychology
102669,51,18.0,Health Professions
102669,52,11.0,Business
102845,11,6.0,Computer Science
102845,51,29.0,Health Professions
102845,52,15.0,Business
104090,51,187.0,Health Professions
104090,52,1.0,Business
104151,03,132.0,Natural Resources
104151,04,230.0,Architecture
104151,05,33.0,Area/Ethnic Studies
104151,09,671.0,Communication
104151,10,92.0,Communications Tech
104151,11,1014.0,Computer Science
104151,13,703.0,Education
104151,14,1376.0,Engineering
104151,15,173.0,Engineering Tech
104151,16,86.0,Foreign Languages
104151,19,162.0,Family/Consumer Sciences
104151,22,79.0,Legal Professions
104151,23,204.0,English
104151,24,73.0,Liberal Arts
104151,26,1268.0,Biological Sciences
104151,27,183.0,Mathematics
104151,30,491.0,Interdisciplinary
104151,31,335.0,Parks/Recreation
104151,38,51.0,Philosophy/Religion
104151,40,167.0,Physical Sciences
104151,41,43.0,Science Tech
104151,42,972.0,Psychology
104151,43,330.0,Homeland Security
104151,44,290.0,Public Administration
104151,45,734.0,Social Sciences
104151,49,101.0,Transportation
104151,50,684.0,Visual/Performing Arts
104151,51,1048.0,Health Professions
104151,52,3324.0,Business
104151,54,101.0,History
104179,01,178.0,Agriculture
104179,03,126.0,Natural Resources
104179,04,129.0,Architecture
104179,05,61.0,Area/Ethnic Studies
104179,09,321.0,Communication
104179,11,464.0,Computer Science
104179,13,256.0,Education
104179,14,524.0,Engineering
104179,15,22.0,Engineering Tech
104179,16,192.0,Foreign Languages
104179,19,110.0,Family/Consumer Sciences
104179,22,169.0,Legal Professions
104179,23,118.0,English
104179,24,48.0,Liberal Arts
104179,26,801.0,Biological Sciences
104179,27,144.0,Mathematics
104179,29,196.0,Military Tech
104179,30,516.0,Interdisciplinary
104179,38,44.0,Philosophy/Religion
104179,40,196.0,Physical Sciences
104179,41,42.0,Science Tech
104179,42,619.0,Psychology
104179,43,152.0,Homeland Security
104179,44,46.0,Public Administration
104179,45,453.0,Social Sciences
104179,50,275.0,Visual/Performing Arts
104179,51,705.0,Health Professions
104179,52,1312.0,Business
104179,54,78.0,History
104586,14,245.0,Engineering
104586,26,3.0,Biological Sciences
104586,30,0.0,Interdisciplinary
104586,40,19.0,Physical Sciences
104586,42,13.0,Psychology
104586,43,48.0,Homeland Security
104586,45,92.0,Social Sciences
104586,49,169.0,Transportation
104586,50,1.0,Visual/Performing Arts
104586,52,23.0,Business
104717,03,14.0,Natural Resources
104717,09,193.0,Communication
104717,11,383.0,Computer Science
104717,13,1678.0,Education
104717,14,120.0,Engineering
104717,15,16.0,Engineering Tech
104717,16,7.0,Foreign Languages
104717,19,36.0,Family/Consumer Sciences
104717,23,73.0,English
104717,26,250.0,Biological Sciences
104717,31,259.0,Parks/Recreation
104717,39,274.0,Theology
104717,40,2.0,Physical Sciences
104717,43,542.0,Homeland Security
104717,44,1754.0,Public Administration
104717,45,138.0,Social Sciences
104717,50,250.0,Visual/Performing Arts
104717,51,4959.0,Health Professions
104717,52,2784.0,Business
104717,54,126.0,History
105297,01,0.0,Agriculture
105297,05,0.0,Area/Ethnic Studies
105297,13,6.0,Education
105297,16,0.0,Foreign Languages
105297,26,2.0,Biological Sciences
105297,42,5.0,Psychology
105297,50,2.0,Visual/Performing Arts
105297,51,14.0,Health Professions
105297,52,4.0,Business
105330,03,141.0,Natural Resources
105330,05,5.0,Area/Ethnic Studies
105330,09,261.0,Communication
105330,11,89.0,Computer Science
105330,13,477.0,Education
105330,14,215.0,Engineering
105330,16,61.0,Foreign Languages
105330,23,65.0,English
105330,24,341.0,Liberal Arts
105330,26,455.0,Biological Sciences
105330,27,41.0,Mathematics
105330,30,123.0,Interdisciplinary
105330,31,235.0,Parks/Recreation
105330,38,13.0,Philosophy/Religion
105330,40,101.0,Physical Sciences
105330,41,43.0,Science Tech
105330,42,451.0,Psychology
105330,43,16.0,Homeland Security
105330,44,139.0,Public Administration
105330,45,413.0,Social Sciences
105330,50,145.0,Visual/Performing Arts
105330,51,764.0,Health Professions
105330,52,779.0,Business
105330,54,27.0,History
105534,51,280.0,Health Professions
105589,01,6.0,Agriculture
105589,03,22.0,Natural Resources
105589,13,10.0,Education
105589,23,0.0,English
105589,24,8.0,Liberal Arts
105589,30,8.0,Interdisciplinary
105589,31,10.0,Parks/Recreation
105589,42,22.0,Psychology
105589,45,12.0,Social Sciences
105589,50,2.0,Visual/Performing Arts
105589,52,2.0,Business
105899,09,9.0,Communication
105899,13,32.0,Education
105899,19,9.0,Family/Consumer Sciences
105899,26,11.0,Biological Sciences
105899,30,13.0,Interdisciplinary
105899,39,12.0,Theology
105899,42,29.0,Psychology
105899,45,14.0,Social Sciences
105899,50,7.0,Visual/Performing Arts
105899,52,52.0,Business
106245,09,36.0,Communication
106245,11,35.0,Computer Science
106245,13,41.0,Education
106245,14,18.0,Engineering
106245,15,33.0,Engineering Tech
106245,16,17.0,Foreign Languages
106245,22,2.0,Legal Professions
106245,23,28.0,English
106245,24,51.0,Liberal Arts
106245,26,56.0,Biological Sciences
106245,27,10.0,Mathematics
106245,30,22.0,Interdisciplinary
106245,38,5.0,Philosophy/Religion
106245,40,10.0,Physical Sciences
106245,42,52.0,Psychology
106245,43,73.0,Homeland Security
106245,44,63.0,Public Administration
106245,45,36.0,Social Sciences
106245,50,51.0,Visual/Performing Arts
106245,51,182.0,Health Professions
106245,52,168.0,Business
106245,54,25.0,History
106263,51,516.0,Health Professions
106306,13,1.0,Education
106306,38,2.0,Philosophy/Religion
106306,43,3.0,Homeland Security
106306,44,6.0,Public Administration
106306,50,0.0,Visual/Performing Arts
106306,52,4.0,Business
106342,09,0.0,Communication
106342,11,14.0,Computer Science
106342,13,6.0,Education
106342,16,0.0,Foreign Languages
106342,23,2.0,English
106342,26,15.0,Biological Sciences
106342,27,8.0,Mathematics
106342,30,0.0,Interdisciplinary
106342,31,17.0,Parks/Recreation
106342,38,0.0,Philosophy/Religion
106342,40,2.0,Physical Sciences
106342,42,16.0,Psychology
106342,45,20.0,Social Sciences
106342,50,12.0,Visual/Performing Arts
106342,52,35.0,Business
106342,54,3.0,History
106397,01,203.0,Agriculture
106397,03,19.0,Natural Resources
106397,04,136.0,Architecture
106397,09,309.0,Communication
106397,11,111.0,Computer Science
106397,13,171.0,Education
106397,14,416.0,Engineering
106397,16,63.0,Foreign Languages
106397,19,161.0,Family/Consumer Sciences
106397,23,43.0,English
106397,26,190.0,Biological Sciences
106397,27,27.0,Mathematics
106397,30,47.0,Interdisciplinary
106397,31,193.0,Parks/Recreation
106397,38,13.0,Philosophy/Religion
106397,40,91.0,Physical Sciences
106397,42,233.0,Psychology
106397,43,102.0,Homeland Security
106397,44,51.0,Public Administration
106397,45,293.0,Social Sciences
106397,50,113.0,Visual/Performing Arts
106397,51,484.0,Health Professions
106397,52,1511.0,Business
106397,54,69.0,History
106412,01,14.0,Agriculture
106412,03,3.0,Natural Resources
106412,09,10.0,Communication
106412,11,9.0,Computer Science
106412,13,31.0,Education
106412,14,1.0,Engineering
106412,15,26.0,Engineering Tech
106412,19,11.0,Family/Consumer Sciences
106412,23,4.0,English
106412,24,31.0,Liberal Arts
106412,26,33.0,Biological Sciences
106412,27,1.0,Mathematics
106412,40,8.0,Physical Sciences
106412,42,10.0,Psychology
106412,43,35.0,Homeland Security
106412,44,18.0,Public Administration
106412,45,13.0,Social Sciences
106412,50,11.0,Visual/Performing Arts
106412,51,33.0,Health Professions
106412,52,48.0,Business
106458,01,76.0,Agriculture
106458,03,16.0,Natural Resources
106458,09,96.0,Communication
106458,11,23.0,Computer Science
106458,13,156.0,Education
106458,14,47.0,Engineering
106458,15,19.0,Engineering Tech
106458,16,4.0,Foreign Languages
106458,23,12.0,English
106458,24,177.0,Liberal Arts
106458,26,62.0,Biological Sciences
106458,27,9.0,Mathematics
106458,30,4.0,Interdisciplinary
106458,31,81.0,Parks/Recreation
106458,38,2.0,Philosophy/Religion
106458,40,11.0,Physical Sciences
106458,42,175.0,Psychology
106458,43,10.0,Homeland Security
106458,44,26.0,Public Administration
106458,45,115.0,Social Sciences
106458,50,47.0,Visual/Performing Arts
106458,51,313.0,Health Professions
106458,52,295.0,Business
106458,54,13.0,History
106467,01,50.0,Agriculture
106467,03,14.0,Natural Resources
106467,09,31.0,Communication
106467,11,66.0,Computer Science
106467,13,155.0,Education
106467,14,65.0,Engineering
106467,16,7.0,Foreign Languages
106467,23,22.0,English
106467,26,25.0,Biological Sciences
106467,27,18.0,Mathematics
106467,30,73.0,Interdisciplinary
106467,31,14.0,Parks/Recreation
106467,40,16.0,Physical Sciences
106467,42,70.0,Psychology
106467,43,55.0,Homeland Security
106467,45,29.0,Social Sciences
106467,50,46.0,Visual/Performing Arts
106467,51,122.0,Health Professions
106467,52,207.0,Business
106467,54,15.0,History
106485,01,12.0,Agriculture
106485,03,13.0,Natural Resources
106485,09,5.0,Communication
106485,13,32.0,Education
106485,15,1.0,Engineering Tech
106485,16,0.0,Foreign Languages
106485,23,4.0,English
106485,24,25.0,Liberal Arts
106485,26,11.0,Biological Sciences
106485,27,2.0,Mathematics
106485,30,9.0,Interdisciplinary
106485,31,33.0,Parks/Recreation
106485,40,1.0,Physical Sciences
106485,42,14.0,Psychology
106485,43,7.0,Homeland Security
106485,44,5.0,Public Administration
106485,45,5.0,Social Sciences
106485,50,7.0,Visual/Performing Arts
106485,51,18.0,Health Professions
106485,52,56.0,Business
106485,54,4.0,History
106704,03,14.0,Natural Resources
106704,05,1.0,Area/Ethnic Studies
106704,09,55.0,Communication
106704,11,98.0,Computer Science
106704,13,131.0,Education
106704,14,5.0,Engineering
106704,16,17.0,Foreign Languages
106704,19,52.0,Family/Consumer Sciences
106704,23,54.0,English
106704,24,46.0,Liberal Arts
106704,26,80.0,Biological Sciences
106704,27,13.0,Mathematics
106704,30,8.0,Interdisciplinary
106704,31,111.0,Parks/Recreation
106704,38,8.0,Philosophy/Religion
106704,40,17.0,Physical Sciences
106704,42,150.0,Psychology
106704,44,8.0,Public Administration
106704,45,91.0,Social Sciences
106704,50,104.0,Visual/Performing Arts
106704,51,249.0,Health Professions
106704,52,301.0,Business
106704,54,19.0,History
106713,09,4.0,Communication
106713,13,8.0,Education
106713,23,0.0,English
106713,24,2.0,Liberal Arts
106713,26,2.0,Biological Sciences
106713,31,19.0,Parks/Recreation
106713,39,16.0,Theology
106713,42,18.0,Psychology
106713,50,0.0,Visual/Performing Arts
106713,51,4.0,Health Professions
106713,52,24.0,Business
106713,54,1.0,History
